iter	MultiClass
0	1.333733694
1	1.292374922
2	1.257856527
3	1.229548914
4	1.205145099
5	1.185009506
6	1.168323844
7	1.153020033
8	1.140170282
9	1.129481768
10	1.120323263
11	1.111691317
12	1.104059788
13	1.097636085
14	1.091598919
15	1.086330749
16	1.081477922
17	1.077601059
18	1.073772925
19	1.070946263
20	1.068698602
21	1.066098118
22	1.06416269
23	1.061936002424	1.060007702525	1.058200902626	1.056655527	27	1.055356628	28	1.05383312929	1.05246466330	1.051133453331	1.05037065
32	1.049509973
33	1.048712623
34	1.047571072
35	1.046867926
36	1.046214336
37	1.045173676
38	1.044336635
39	1.043921988
40	1.043486245
41	1.042601114
42	1.042125638
43	1.041826443
44	1.041435622
45	1.040809251
46	1.040217279
47	1.039751424
48	1.039212086
49	1.038766854
50	1.038316214
51	1.038030045
52	1.037565428
53	1.036864182
54	1.036306336
55	1.035990545
56	1.035543263
57	1.035077863
58	1.034652733
59	1.034273795
60	1.033645612
61	1.033136288
62	1.032619838
63	1.031884715
64	1.031088293
65	1.030882801
66	1.03054833
67	1.030018024
68	1.029765928
69	1.029100723
70	1.028657174
71	1.02830814
72	1.027888063
73	1.027088066
74	1.026680105
75	1.026307374
76	1.025996634
77	1.02535525
78	1.024635671
79	1.024140926
80	1.02361169
81	1.023081375
82	1.022748344
83	1.022278955
84	1.022019187
85	1.021781483
86	1.021337451
87	1.020446711
88	1.020020162
89	1.019635138
90	1.019455478
91	1.018671474
92	1.018029148
93	1.017731312
94	1.017171985
95	1.016546283
96	1.016224415
97	1.015775751
98	1.015406571
99	1.015008278
100	1.01452557
101	1.014019069
102	1.013490689
103	1.012739303
104	1.012388359
105	1.012076832
106	1.0114616
107	1.01081703
108	1.010563688
109	1.010165931
110	1.009711968
111	1.009249666
112	1.008838104
113	1.008602709
114	1.008217505
115	1.007826445
116	1.007522208
117	1.006739375
118	1.00641183
119	1.005947308
120	1.005575744
121	1.005093166
122	1.004923708
123	1.00456595
124	1.004246459
125	1.003889798
126	1.003306434
127	1.003023455
128	1.00261564
129	1.002468144
130	1.00174543
131	1.001497316
132	1.001066989
133	1.000677072
134	1.000268396
135	0.9994869866
136	0.9990033367
137	0.9987679693
138	0.9980884912
139	0.9976958366
140	0.9973932608
141	0.9970550413
142	0.9968563337
143	0.9963348793
144	0.9957112454
145	0.995178932
146	0.9949467836
147	0.9947463051
148	0.9942019022
149	0.9933891856
150	0.9929697197
151	0.9925597131
152	0.9919632152
153	0.9916324631
154	0.9912458036
155	0.9909701598
156	0.9907789795
157	0.990436692
158	0.9899697498
159	0.9897336191
160	0.9890075916
161	0.9883838239
162	0.9876771419
163	0.9870549503
164	0.9865836642
165	0.9859728241
166	0.985779158
167	0.9855174084
168	0.9849972849
169	0.9844830813
170	0.9841129354
171	0.9835766335
172	0.983159876
173	0.982712524
174	0.9822787663
175	0.981710799
176	0.9810919451
177	0.9806732717
178	0.9801937941
179	0.9797536979
180	0.9793326092
181	0.9789014503
182	0.97849213
183	0.9781950445
184	0.9779271621
185	0.9774785343
186	0.9771444691
187	0.9767468502
188	0.976062514
189	0.9756666237
190	0.9750896869
191	0.9744746101
192	0.9741325521
193	0.9738917365
194	0.9735430396
195	0.9730193384
196	0.9726521723
197	0.9720494262
198	0.9716642801
199	0.9710777484
200	0.9709329682
201	0.9705654703
202	0.9700269283
203	0.9698060933
204	0.9693841043
205	0.968998781
206	0.9685904925
207	0.9681758659
208	0.9677745981
209	0.9674424744
210	0.9668685955
211	0.966609185
212	0.9663784218
213	0.9660409175
214	0.965552694
215	0.964903632
216	0.9647495532
217	0.9641861803
218	0.963687568
219	0.963365021
220	0.9628310545
221	0.9626391352
222	0.9620948197
223	0.9617998226
224	0.9613124901
225	0.9609252131
226	0.9603786076
227	0.959916797
228	0.9596184462
229	0.9591131216
230	0.9585006058
231	0.9581199577
232	0.9576256753
233	0.956915658
234	0.9566582133
235	0.9562525186
236	0.9557230939
237	0.955150228
238	0.9545397592
239	0.9542592357
240	0.9536868213
241	0.9535352298
242	0.9531602783
243	0.9527969974
244	0.9523672255
245	0.9521059173
246	0.951716518
247	0.9511998245
248	0.9506667645
249	0.9504873442
250	0.95016626
251	0.9496363947
252	0.9493305547
253	0.9490584234
254	0.9486849603
255	0.9481306968
256	0.9476319691
257	0.9472519322
258	0.9470365311
259	0.9468433898
260	0.946444172
261	0.9462250846
262	0.9460572329
263	0.945720471
264	0.9453479574
265	0.9450974868
266	0.944735482
267	0.9445474313
268	0.9441910836
269	0.943811652
270	0.9435572619
271	0.9429850406
272	0.9426577656
273	0.942434024
274	0.9419654184
275	0.9413675895
276	0.9409321976
277	0.9403030729
278	0.9400493134
279	0.9397790058
280	0.9394317036
281	0.9391815475
282	0.9387634736
283	0.9383939995
284	0.9381087393
285	0.9376499583
286	0.9371715451
287	0.9368250116
288	0.9364616611
289	0.9361882155
290	0.9357878618
291	0.9356485887
292	0.9353459855
293	0.9346764343
294	0.9342287379
295	0.9339672172
296	0.9335088706
297	0.9331083017
298	0.9328413979
299	0.9322832075
300	0.9318576287
301	0.9315976459
302	0.9309303643
303	0.9306608223
304	0.9303322462
305	0.9299763397
306	0.9295660494
307	0.9288441848
308	0.9283474416
309	0.9280308931
310	0.9276105943
311	0.9271217432
312	0.9266362347
313	0.9261936447
314	0.9258891704
315	0.9256906167
316	0.9254292019
317	0.9251752673
318	0.924376337
319	0.923844211
320	0.9235172315
321	0.9230254879
322	0.9226044732
323	0.9221605334
324	0.9218520313
325	0.9214817435
326	0.9208314641
327	0.9205018843
328	0.9199583009
329	0.9191878308
330	0.9188460053
331	0.9181734525
332	0.9174119386
333	0.9172446729
334	0.9167137462
335	0.916287253
336	0.9158898838
337	0.9154762002
338	0.9150068893
339	0.9147361217
340	0.9145952173
341	0.914257322
342	0.9137751184
343	0.9133768831
344	0.9128429836
345	0.9122645517
346	0.9118898255
347	0.9115576931
348	0.9112169705
349	0.9108382743
350	0.9103118582
351	0.910055527
352	0.9095113814
353	0.9092016405
354	0.9087693432
355	0.9084403314
356	0.9081476816
357	0.9077613655
358	0.9074311488
359	0.9070927159
360	0.9068160411
361	0.9065668957
362	0.9061148737
363	0.9056737448
364	0.9053738415
365	0.9049768691
366	0.9043889306
367	0.9038028407
368	0.9033148236
369	0.9030555108
370	0.9024304356
371	0.9021763464
372	0.9018010568
373	0.9015013102
374	0.9008836706
375	0.9003354831
376	0.8998819398
377	0.8994568444
378	0.8990500338
379	0.8986505824
380	0.8984960731
381	0.898039762
382	0.897517486
383	0.8972030827
384	0.8969085952
385	0.8964984316
386	0.8962729021
387	0.8960852839
388	0.8958577045
389	0.8951223457
390	0.8947298809
391	0.8945203477
392	0.8940830248
393	0.8936633658
394	0.8930926178
395	0.8927286456
396	0.8921422417
397	0.8914106164
398	0.8910257425
399	0.8904840796
400	0.8902373043
401	0.8899344458
402	0.8893095428
403	0.8886642956
404	0.888257045
405	0.8877613647
406	0.8874372607
407	0.8870345424
408	0.8865860582
409	0.885880484
410	0.8853661397
411	0.8851820769
412	0.8848966906
413	0.8842933333
414	0.8839691262
415	0.8837174146
416	0.8830996349
417	0.8827364076
418	0.8819771338
419	0.8815334593
420	0.8812019167
421	0.8809475579
422	0.8805068868
423	0.8800317553
424	0.8796445475
425	0.8792749011
426	0.8786297756
427	0.8784662632
428	0.8779937862
429	0.8775150451
430	0.8769011207
431	0.8764139444
432	0.8760350052
433	0.875644049
434	0.875276792
435	0.874884422
436	0.8744830915
437	0.8741396588
438	0.8735527684
439	0.8732158247
440	0.8729063678
441	0.8724767613
442	0.8720172501
443	0.8717677709
444	0.8712909168
445	0.8710619835
446	0.8707520272
447	0.8705301532
448	0.870441773
